N,Estado_civil,Grau_de_instrucao,N_de_filhos,Salario, idade, idade_meses, Regiao_de_procedencia
1, solteiro, ensino fundamental, 0, 4.00, 26, 03, interior
2, casado, ensino fundamental, 1, 4.56  , 32, 10, capital
3, casado, ensino fundamental, 2, 5.25, 36, 05, capital
4, solteiro, ensino médio, 0, 5.73, 20, 10, outra
5, solteiro, ensino fundamental, 0, 6.26, 40, 07, outra
6, casado, ensino fundamental, 0, 6.66, 28, 00, interior
7, solteiro, ensino fundamental, 0, 6.86, 41, 00, interior
8, solteiro, ensino fundamental, 0, 7.39, 43, 04, capital
9, casado, ensino médio, 1, 7.59, 34, 10, capital
10, solteiro, ensino médio, 0, 7.44, 23, 06, outra
11, casado, ensino médio, 2, 8.12, 33, 06, interior
12, solteiro, ensino fundamental, 0, 8.46, 27, 11, capital
13, solteiro, ensino médio, 0, 8.74, 37, 05, outra
14, casado, ensino fundamental, 3, 8.95, 44, 02, outra
15, casado, ensino médio, 0, 9.13, 30, 05, interior
16, solteiro, ensino médio, 0, 9.35, 38, 08, outra
17, casado, ensino médio, 1, 9.77, 31, 07, capital
18, casado, ensino fundamental, 2, 9.80, 39, 07, outra
19, solteiro, superior, 0, 10.53, 25, 08, interior
20, solteiro, ensino médio, 0, 10.76, 37, 04, interior
21, casado, ensino médio, 1, 11.06, 30, 09, outra
22, solteiro, ensino médio, 0, 11.59, 34, 02, capital
23, solteiro, ensino fundamental, 0, 12.00, 41, 00, outra
24, casado, superior, 0, 12.79, 26, 01, outra
25, casado, ensino médio, 2, 13.23, 32, 05, interior
26, casado, ensino médio, 2, 13.60, 35, 00, outra
27, solteiro, ensino fundamental, 0, 13.85, 46, 07, outra
28, casado, ensino médio, 0, 14.69, 29, 08, interior
29, casado, ensino médio, 5, 14.71, 40, 06, interior
30, casado, ensino médio, 2, 15.99, 35, 10, capital
31, solteiro, superior, 0, 16.22, 31, 05, outra
32, casado, ensino médio, 1, 16.61, 36, 04, interior
33, casado, superior, 3, 17.26, 43, 07, capital
34, solteiro, superior, 0, 18.75, 33, 07, capital
35, casado, ensino médio, 2, 19.40, 48, 11, capital
36, casado, superior, 3, 23.30, 42, 02, interior
